frame_number,vehicle_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_meters,overtaking_angle_degrees,angle_accuracy_percent,safe_to_overtake,recommendation
20,motorcycle,0.5960210561752319,492,472,576,570,15.555555555555557,-12.86,83.0,False,Low detection confidence
21,motorcycle,0.6586145758628845,494,476,575,570,16.131687242798353,-12.84,82.4,False,Low detection confidence
21,car,0.6484643816947937,1018,400,1088,474,48.0,2.85,55.6,False,Low detection confidence
21,truck,0.6415048241615295,1155,236,1523,651,12.681159420289855,11.48,86.6,False,Large vehicle - maintain distance; Low detection confidence
21,motorcycle,0.5313288569450378,662,466,713,545,25.62091503267974,-8.31,75.2,False,Low detection confidence
22,truck,0.6962756514549255,1155,237,1522,651,12.715712988192553,11.46,86.6,False,Large vehicle - maintain distance; Low detection confidence
22,motorcycle,0.6642521619796753,495,475,577,570,15.934959349593496,-12.8,82.7,False,Low detection confidence
22,car,0.6593130230903625,1019,399,1088,473,48.69565217391305,2.87,54.9,False,Low detection confidence
23,truck,0.7413234114646912,1155,237,1521,651,12.750455373406194,11.45,86.5,False,Large vehicle - maintain distance
23,motorcycle,0.6548166871070862,494,475,578,570,15.555555555555557,-12.8,83.0,False,Low detection confidence
23,car,0.6406470537185669,1019,398,1089,473,48.0,2.88,55.6,False,Low detection confidence
23,motorcycle,0.5319706797599792,662,467,714,544,25.12820512820513,-8.29,75.7,False,Low detection confidence
24,truck,0.7075914144515991,1154,236,1519,651,12.785388127853881,11.4,86.5,False,Large vehicle - maintain distance
24,car,0.6097663640975952,1020,398,1089,473,48.69565217391305,2.9,54.9,False,Low detection confidence
24,motorcycle,0.6034700870513916,495,475,579,570,15.555555555555557,-12.77,83.1,False,Low detection confidence
24,motorcycle,0.5174273252487183,662,467,714,544,25.12820512820513,-8.29,75.7,False,Low detection confidence
25,truck,0.6509064435958862,1154,236,1518,650,12.820512820512821,11.39,86.5,False,Large vehicle - maintain distance; Low detection confidence
25,car,0.6138531565666199,1021,398,1089,473,49.411764705882355,2.91,54.1,False,Low detection confidence
25,motorcycle,0.6103965640068054,494,472,580,571,15.193798449612403,-12.77,83.4,False,Low detection confidence
25,motorcycle,0.5340859889984131,660,465,717,544,22.923976608187136,-8.28,77.9,False,Low detection confidence
26,truck,0.7306197881698608,1154,235,1517,647,12.85583103764922,11.37,86.5,False,Large vehicle - maintain distance
26,motorcycle,0.6427868604660034,494,465,582,571,14.84848484848485,-12.74,83.8,False,Low detection confidence
26,car,0.6336710453033447,1021,398,1088,473,50.149253731343286,2.9,53.6,False,Low detection confidence
26,motorcycle,0.5584151744842529,661,464,718,543,22.923976608187136,-8.25,78.0,False,Low detection confidence
27,truck,0.692682147026062,1154,234,1516,646,12.891344383057092,11.36,86.4,False,Large vehicle - maintain distance; Low detection confidence
27,car,0.6385549306869507,1021,398,1089,473,49.411764705882355,2.91,54.1,False,Low detection confidence
27,motorcycle,0.608428418636322,495,468,583,571,14.84848484848485,-12.71,83.8,False,Low detection confidence
27,motorcycle,0.5510896444320679,660,464,719,542,22.146892655367232,-8.25,78.7,False,Low detection confidence
28,truck,0.6800214052200317,1153,233,1514,645,12.927054478301017,11.31,86.4,False,Large vehicle - maintain distance; Low detection confidence
28,car,0.6420766115188599,1021,397,1090,473,48.69565217391305,2.93,54.8,False,Low detection confidence
